initials iteracion time risk arrival valencia arousal
MHG 1 0.5255373137825703 0.6452670144837881 0.2768108646941967 0 75
MHG 1 0.4984615284837905 0.6634833487600097 0.19823301279341907 0 0
MHG 1 0.4846596000512216 0.9272238212895264 0.1449310118720613 100 75
MHG 1 0.45818913617361284 0.8999651727342828 0.2728599727503848 100 75
MHG 2 0.4595593475463711 0.868748699972358 0.2627338334810066 100 75
MHG 2 0.4597135588354613 0.8667269593721654 0.2885390361195653 100 50
MHG 2 0.458904671142526 0.8955263303423449 0.3041781438270339 25 75
MHG 2 0.45818913617361284 0.8999651727342828 0.2728599727503848 0 0
MHG 3 0.9219601121361245 0.7537132885032378 0.1712264503559322 0 0
MHG 3 0.563977369645388 0.7477512837514338 0.19206996963422457 0 0
MHG 3 0.6175550841412343 0.8764958567394897 0.00019563587043873595 0 0
MHG 3 0.536927344854439 0.7857077406717486 0.04768013220747465 0 0
MHG 4 0.4548557836209679 0.9298478876940789 0.04792883266966079 0 75
MHG 4 0.4880997506452671 0.8912882879759056 0.03321731463669652 50 50
MHG 4 0.5221268430225984 0.9330349050604748 0.028383957598960913 0 0
MHG 4 0.4642062525400211 0.8346540439968613 0.07592109657518349 50 50
